....................
KOD,NAME
FM,"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ"
FO,ФАРЕРСКИЕ ОСТРОВА
FR,ФРАНЦИЯ
GA,ГАБОН
GB,СОЕДИНЕННОЕ КОРОЛЕВСТВО
GD,ГРЕНАДА
GE,ГРУЗИЯ
GF,ФРАНЦУЗСКАЯ ГВИАНА
GG,ГЕРНСИ
GH,ГАНА
GI,ГИБРАЛТАР
GL,ГРЕНЛАНДИЯ
GM,ГАМБИЯ
GN,ГВИНЕЯ
GP,ГВАДЕЛУПА
GQ,ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
GR,ГРЕЦИЯ
GS,ЮЖН.ДЖОРДЖИЯ И ЮЖН.САНДВИЧ.ОСТРОВА
GT,ГВАТЕМАЛА
GU,ГУАМ
GW,ГВИНЕЯ-БИСАУ
GY,ГАЙАНА
HK,ГОНКОНГ
HM,ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД
HN,ГОНДУРАС
HR,ХОРВАТИЯ
HT,ГАИТИ
HU,ВЕНГРИЯ
ID,ИНДОНЕЗИЯ
IE,ИРЛАНДИЯ
IL,ИЗРАИЛЬ
IM,ОСТРОВ МЭН
IN,ИНДИЯ
IO,БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНД.ОКЕАНЕ
IQ,ИРАК
IR,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА"
IS,ИСЛАНДИЯ
IT,ИТАЛИЯ
JE,ДЖЕРСИ
JM,ЯМАЙКА
JO,ИОРДАНИЯ
JP,ЯПОНИЯ
KE,КЕНИЯ
KG,КИРГИЗИЯ
KH,КАМБОДЖА
KI,КИРИБАТИ
KM,КОМОРЫ
KN,СЕНТ-КИТС И НЕВИС
KP,"КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧ.РЕСПУБЛ."
KR,"КОРЕЯ, РЕСПУБЛИКА"
KW,КУВЕЙТ
KY,ОСТРОВА КАЙМАН
KZ,КАЗАХСТАН
LA,ЛАОССКАЯ НАРОДНО-ДЕМОК. РЕСПУБЛИКА
LB,ЛИВАН
LC,СЕНТ-ЛЮСИЯ
LI,ЛИХТЕНШТЕЙН
LK,ШРИ-ЛАНКА
LR,ЛИБЕРИЯ
LS,ЛЕСОТО
LT,ЛИТВА
LU,ЛЮКСЕМБУРГ
LV,ЛАТВИЯ
LY,ЛИВИЯ
MA,МАРОККО
MC,МОНАКО
MD,"МОЛДОВА, РЕСПУБЛИКА"
ME,ЧЕРНОГОРИЯ
MF,СЕН-МАРТЕН
MG,МАДАГАСКАР
MH,МАРШАЛЛОВЫ ОСТРОВА
MK,РЕСПУБЛИКА МАКЕДОНИЯ
ML,МАЛИ
MM,МЬЯНМА
MN,МОНГОЛИЯ
MO,МАКАО
MP,СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА
MQ,МАРТИНИКА
MR,МАВРИТАНИЯ
MS,МОНТСЕРРАТ
MT,МАЛЬТА
MU,МАВРИКИЙ
MV,МАЛЬДИВЫ
MW,МАЛАВИ
MX,МЕКСИКА
MY,МАЛАЙЗИЯ
MZ,МОЗАМБИК
NA,НАМИБИЯ
NC,НОВАЯ КАЛЕДОНИЯ
NE,НИГЕР
NF,ОСТРОВ НОРФОЛК
NG,НИГЕРИЯ
NI,НИКАРАГУА
NL,НИДЕРЛАНДЫ
NNN,НЕИЗВЕСТНАЯ СТРАНА
NO,НОРВЕГИЯ
NP,НЕПАЛ
NR,НАУРУ
NU,НИУЭ
NZ,НОВАЯ ЗЕЛАНДИЯ
OM,ОМАН
OS,ЮЖНАЯ ОСЕТИЯ
PA,ПАНАМА
PE,ПЕРУ
PF,ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ
PG,ПАПУА НОВАЯ ГВИНЕЯ
PH,ФИЛИППИНЫ
PK,ПАКИСТАН
PL,ПОЛЬША
PM,СЕНТ-ПЬЕР И МИКЕЛОН
PN,ПИТКЕРН
PR,ПУЭРТО-РИКО
PS,"ПАЛЕСТИНА,ГОСУДАРСТВО"
PT,ПОРТУГАЛИЯ
PW,ПАЛАУ
PY,ПАРАГВАЙ
QA,КАТАР
RE,РЕЮНЬОН
RO,РУМЫНИЯ
RS,СЕРБИЯ
RU,РОССИЯ
RW,РУАНДА
SA,САУДОВСКАЯ АРАВИЯ
SB,СОЛОМОНОВЫ ОСТРОВА
SC,СЕЙШЕЛЫ
SD,СУДАН
SE,ШВЕЦИЯ
SG,СИНГАПУР
SH,"СВ.ЕЛЕНА,О.ВОЗНЕС.,ТРИСТАН-ДА-КУНЬЯ"
SI,СЛОВЕНИЯ
SJ,ШПИЦБЕРГЕН И ЯН МАЙЕН
SK,СЛОВАКИЯ
SL,СЬЕРРА-ЛЕОНЕ
SM,САН-МАРИНО
SN,СЕНЕГАЛ
SO,СОМАЛИ
SR,СУРИНАМ
SS,ЮЖНЫЙ СУДАН
ST,САН-ТОМЕ И ПРИНСИПИ
SV,ЭЛЬ-САЛЬВАДОР
SX,СЕН-МАРТЕН(НИДЕРЛАНДСКАЯ ЧАСТЬ)
SY,СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
SZ,СВАЗИЛЕНД
TC,ОСТРОВА ТЕРКС И КАЙКОС
TD,ЧАД
TF,ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ
TG,ТОГО
TH,ТАИЛАНД
TJ,ТАДЖИКИСТАН
TK,ТОКЕЛАУ
TL,ТИМОР-ЛЕСТЕ
TM,ТУРКМЕНИЯ
TN,ТУНИС
TO,ТОНГА
TR,ТУРЦИЯ
TT,ТРИНИДАД И ТОБАГО
TV,ТУВАЛУ
TW,ТАЙВАНЬ (КИТАЙ)
TZ,"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА"
UA,УКРАИНА
UG,УГАНДА
UM,МАЛЫЕ ТИХООКЕАН.ОТДАЛЕН.ОСТ-ВА С.Ш.
US,СОЕДИНЕННЫЕ ШТАТЫ
UY,УРУГВАЙ
UZ,УЗБЕКИСТАН
VA,ПАПСКИЙ ПРЕСТОЛ(ГОС.-ГОРОД ВАТИКАН)
VC,СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
VE,"ВЕНЕСУЭЛА,БОЛИВАРИАНСКАЯ РЕСПУБЛИКА"
VG,"ВИРГИНСКИЕ ОСТРОВА, БРИТАНСКИЕ"
VI,"ВИРГИНСКИЕ ОСТРОВА, США"
VN,ВЬЕТНАМ
VU,ВАНУАТУ
WF,УОЛЛИС И ФУТУНА
WS,САМОА
YE,ЙЕМЕН
YT,МАЙОТТА
YY,ГРУЗИЯ (вне СНГ)
ZA,ЮЖНАЯ АФРИКА
ZM,ЗАМБИЯ
ZW,ЗИМБАБВЕ

